,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall- 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Khyber II,CL3003Management Information System Lab,,,,,,,BBA05C,,CL3003Management Information System Lab,,,,,,,BBA05C,,LG3003Basic Econometrics Lab,,,,,,,BA05B,,LG3003Basic Econometrics Lab,,,,,,,BA05B,,LG3003Basic Econometrics Lab,,,,,,,FT05C,,LG3003Basic Econometrics Lab,,,,,,,FT05C
,,Khyber III,CL1001IT in Business-Lab,,,,,,,FT01C1,,CL1001IT in Business-Lab,,,,,,,FT01C1,,FL3001Financial Management Lab,,,,,,,BBA05C,,FL3001Financial Management Lab,,,,,,,BBA05C,,CL3010Web Programming -Lab,,,,,,,FT05B,,CL3010Web Programming -Lab,,,,,,,FT05B
,,Khyber IV,SL1016English - I- Lab,,,,,,,FT01C2,,SL1016English - I- Lab,,,,,,,FT01C2,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03C,,LG2009Data Analysis for Business -II Lab,,,,,,,BA03C,, SL1006 English -II Lab,,,,,,,MG0A,, SL1006 English -II Lab,,,,,,,MG0A
,,PTH-I,SL1016English - I- Lab,,,,,,,BA01A2,,SL1016English - I- Lab,,,,,,,BA01A2,,SL1016English - I- Lab,,,,,,,BBA01C1,,SL1016English - I- Lab,,,,,,,BBA01C1,,EE,,,,,,,,,EE,,,,,,,
,,Comp-I,CL1001IT in Business-Lab,,,,,,,AF01B2,,CL1001IT in Business-Lab,,,,,,,AF01B2,,SL1016English - I- Lab,,,,,,,BBA01C2,,SL1016English - I- Lab,,,,,,,BBA01C2,,EE,,,,,,,,,EE,,,,,,,
,,Cal-I,SL1016English - I- Lab,,,,,,,AF01B1,,SL1016English - I- Lab,,,,,,,AF01B1,,CS,,,,,,,,,CS,,,,,,,,,CS,,,,,,,,,CS,,,,,,,
,,Room,08:30-09:50,,,,,,,,,10:00-11:20,,,,,,,,,11:30-12:50,,,,,,,,,01:00-02:20,,,,,,,,,02:25-03:45,,,,,,,,,03:50-05:10,,,,,,,
Tuesday,Classes,A-01,MG1001Fundamental of Management,,,,,,,BBA01C,,MT1002Business Math - I,,,,,,,BBA01C,,MG2010Business Communication,,,,,,,AF03A,,SS2002MicroeconomicsAF03A,,,,,,,AF03B,,BA3004Database Systems for Business,,,,,,,BA05B,,MG3003Basic Econometrics,,,,,,,BA05B
,,A-02,SS1016English - I (8:30-10:20),,,,,,,,,,,BBA01B,,,,,,,MG2009Data Analysis for Business - II,,,,,,,AF03B,,MG3004Human Resource Management,,,,,,,BA05B,,MG3003Basic Econometrics,,,,,,,BA05A,,BA3004Database Systems for Business,,,,,,,BA05A
,,A-03,SS1013Ideology and Constitution of Pakistan (8:30-10:20),,,,,,,,,,BA01A,SS1019 U- Seerah 10:25-11:20,,,,,BA01A,,MG3004Human Resource Management,,,,,,,BA05A,,CS1001IT in Business  (01:00- 2:55),,,,,,,,,,,BA01A,,,,,,,,,,,,,,
,,A-04,SS1016English - I (8:30-10:20),,,,,,,,,,FT01C,,,,,,,,MG2009Data Analysis for Business II,,,,,,,BA03C,,SS1016English - I (01:00-02:55),,,,,,,,,,,AF01C,,,,,,,,,,,,,,
,,A-101,MG1002Marketing Management,,,,,,,AF01A,,MG1002Marketing Management,,,,,,,AF01B,,CS3003Management Information System,,,,,,,BBA05C,,MG3006 Operations Management,,,,,,,BBA05C,,MG2008Data Analysis for Business - I,,,,,,,FT03B,,MG2008Data Analysis for Business - I,,,,,,,FT03A
,,A-102,AF1001Fund of Accounting,,,,,,,AF01B,,AF1001Fund of Accounting,,,,,,,AF01A,,CS3010Web Programming,,,,,,,FT05C,,CS3011Enterprise Information System,,,,,,,FT05C,,SS2002Microeconomics,,,,,,,FT03A,,SS2002Microeconomics,,,,,,,FT03B
,,A-103,CS3011Enterprise Information System,,,,,,,FT05A,,CS3011Enterprise Information System,,,,,,,FT05B,,MG3012Blockchain Technology for Business,,,,,,,FT05A,,MG3012Blockchain Technology for Business,,,,,,,FT05B,, SS2031 French  Language,,,,,,,BBA05B,, SS2031 French SS2031 French  Language						,,,,,,,BBA05B
,,A-104,MG4003Strategic Management,,,,,,,BBA07B,,MG4003Strategic Management,,,,,,,BBA07A,,SS1003Pakistan Studies,,,,,,,BA07A,,SS1003Pakistan Studies,,,,,,,AF07A,,MG2010Business Communication,,,,,,,AF03B,,,,,,,,,
,,A- 201,AF1001Fundamental of Accounting,,,,,,,BA01C,,AF3003Financial Institutions & Markets,,,,,,,BBA07B,,MG4013Business Strategy,,,,,,,AF07A,,MG2009Data Analysis for Business - II,,,,,,,AF03A,,MG3012Blockchain Technology for Business,,,,,,,FT05C,,MG3003Basic Econometrics,,,,,,,FT05C
,,A- 202,MG4011Entreprenureship,,,,,,,BA07A,,BA4001Decision Scinces for Business,,,,,,,BA07A,,CS,,,,,,,,,CS1001IT in Business (01:00-02:55),,,,,,,,,,,,AF01B,,,,,,,,,,,,,
,,A- 203,MG3003Basic Econometrics,,,,,,,AF05B,,MG3003Basic Econometrics,,,,,,,AF05A,,SS2041Critical Thinking (11:30- 01:20),,,,,,,,,,,BBA03C,SS1016English - I  (1:25-3:10),,,,,,,,,,AF01A,,,,,,,,,,,,
,,A--210,CS3003Management Information System,,,,,,,AF05A,,CS3003Management Information System,,,,,,,AF05B,,SS2042Community Service (11:30- 01:20),,,,,,,,,,,BBA03B,SS2041Critical Thinking  (1:25-3:10),,,,,,,,,BBA03B,,SS2042Community Service (3:20-5:10),,,,,,,,,,,BBA03C
